,Horario:,9:00,12:00,14:30,17:30,20:00
Mensual,Día,Desayuno,Almuerzo,Snack,Snack,Cena
semana 1,Lunes,Yogur + granola + chía,Sandwich pavo,Manzana + almendras,Yogur/skyr,Factor Pollo tomate-crema
semana 1,Martes,Smoothie + chía,Sandwich pollo,Plátano,Huevo cocido,Factor Cerdo cebolla
semana 1,Miércoles,Yogur + fruta + avena,Sandwich atún,Manzana,Yogur,Factor Salmón thai
semana 1,Jueves,Smoothie + chía,Sandwich pavo,Almendras,Fruta,Factor Risotto pollo
semana 1,Viernes,Yogur + avena,Sandwich pollo,Fruta,Yogur,Factor Pollo crema
semana 1,Sábado,Desayuno familiar,Comida familiar,Snack ligero,Snack ligero,Factor Curry res
semana 1,Domingo,Libre,Libre,-,-,Libre
semana 2,Lunes,Yogur + granola + chia,Sandwich jamon,Platano + 10 almendras,Yogur,Cena trabajo
semana 2,Martes,Smoothie + chia,Sandwich pollo,Platano,Huevo cocido,Cena oficina (XKE)
semana 2,Miércoles,Yogur + fruta + avena,Sandwich atun,Barra cereal,Yogur,Factor: Gegrilde kipfilet en aardappel-preipuree
semana 2,Jueves,Smoothie + chia,Sandwich jamon,15 almendras,Fruta,Factor: Gember knoflook kip
semana 2,Viernes,Yogur + avena,Sandwich pollo,Barra cereal,Yogur,Factor: Gegrilde kipfilet en ratatouille
semana 2,Sábado,Desayuno familiar,Comida familiar,Snack ligero,Snack ligero,Factor: Gegrilde kipfilet en ratatouille
semana 2,Domingo,Libre,Libre,-,-,Factor: Kipfilet
semana 3,Lunes,,,,,
semana 3,Martes,,,,,
semana 3,Miércoles,,,,,
semana 3,Jueves,,,,,
semana 3,Viernes,,,,,
semana 3,Sábado,,,,,
semana 3,Domingo,,,,,
semana 4,Lunes,,,,,
semana 4,Martes,,,,,
semana 4,Miércoles,,,,,
semana 4,Jueves,,,,,
semana 4,Viernes,,,,,
semana 4,Sábado,,,,,
semana 4,Domingo,,,,,
